type,title,date_added,release_year,rating,listed_in,streaming_platform,duration_seasons
TV Show,Japan: Between Earth and Sky,"June 5, 2020",2017,TV-PG,"Animals & Nature, Docuseries",DisneyPlus,1
TV Show,Secrets of Wild India,"June 5, 2020",2012,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,The Greeks,"June 5, 2020",2016,TV-PG,"Docuseries, Historical",DisneyPlus,1
TV Show,Wild Hawaii,"June 5, 2020",2014,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,The Evermoor Chronicles,"May 29, 2020",2015,TV-PG,"Coming of Age, Fantasy, Mystery",DisneyPlus,2
TV Show,Doc McStuffins,"May 22, 2020",2011,TV-Y7,"Animation, Kids, Medical",DisneyPlus,5
TV Show,Marvel's Future Avengers,"May 22, 2020",2017,TV-Y7,"Action-Adventure, Animation, Anime",DisneyPlus,2
TV Show,The Big Fib,"May 22, 2020",2019,TV-PG,"Family, Game Show / Competition",DisneyPlus,1
TV Show,It's a Dog's Life with Bill Farmer,"May 15, 2020",2020,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,Awesome Animals,"May 1, 2020",2017,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,Birth of Europe,"May 1, 2020",2014,TV-G,Docuseries,DisneyPlus,1
TV Show,Buried Secrets Of The Bible With Albert Lin,"May 1, 2020",2019,TV-PG,"Action-Adventure, Docuseries, Historical",DisneyPlus,1
TV Show,Disney Prop Culture,"May 1, 2020",2020,TV-PG,Docuseries,DisneyPlus,1
TV Show,Lost Treasures Of Egypt,"May 1, 2020",2018,TV-PG,"Docuseries, Historical",DisneyPlus,1
TV Show,Love & Vets,"May 1, 2020",2017,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,Prairie Dog Manor,"May 1, 2020",2019,TV-PG,"Animals & Nature, Docuseries, Reality",DisneyPlus,1
TV Show,United States Of Animals,"May 1, 2020",2015,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,Unlikely Animal Friends,"May 1, 2020",2012,TV-G,"Animals & Nature, Docuseries, Family",DisneyPlus,3
TV Show,America's Funniest Home Videos,"April 24, 2020",1989,TV-PG,"Comedy, Family, Fantasy",DisneyPlus,9
TV Show,Tangled: The Series,"April 23, 2020",2016,TV-Y7,"Action-Adventure, Animation, Comedy",DisneyPlus,3
TV Show,Brain Games,"April 17, 2020",2011,TV-G,"Docuseries, Family, Game Show / Competition",DisneyPlus,8
TV Show,Disney Mickey and the Roadster Racers - Chip 'N' Dale's Nutty Tales (Shorts),"April 17, 2020",2017,TV-Y,"Action-Adventure, Animation, Buddy",DisneyPlus,2
TV Show,Tron Uprising,"April 14, 2020",2011,TV-Y7,"Action-Adventure, Animation, Kids",DisneyPlus,1
TV Show,Disney Playtime with Puppy Dog Pals (Shorts),"April 10, 2020",2017,TV-Y,"Animation, Kids",DisneyPlus,2
TV Show,Paradise Islands,"April 10, 2020",2017,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,Tut's Treasures: Hidden Secrets,"April 10, 2020",2018,TV-PG,"Docuseries, Historical",DisneyPlus,1
TV Show,Fish Hooks,"April 3, 2020",2010,TV-G,"Animation, Comedy, Coming of Age",DisneyPlus,3
TV Show,Sonny With A Chance,"April 3, 2020",2008,TV-G,"Comedy, Coming of Age, Romance",DisneyPlus,2
TV Show,Be Our Chef,"March 27, 2020",2020,TV-G,"Family, Game Show / Competition",DisneyPlus,1
TV Show,Disney I Didn't Do It,"March 20, 2020",2013,TV-G,"Comedy, Family",DisneyPlus,2
TV Show,Disney Insider,"March 20, 2020",2020,TV-PG,"Anthology, Docuseries",DisneyPlus,1
TV Show,Disney Vampirina Ghoul Girls Rock! (Shorts),"March 20, 2020",2017,TV-Y7,"Animation, Fantasy, Kids",DisneyPlus,2
TV Show,101 Dalmatian Street,"February 28, 2020",2018,TV-Y7,"Action-Adventure, Animation, Comedy",DisneyPlus,1
TV Show,Shop Class,"February 28, 2020",2020,TV-G,"Family, Game Show / Competition",DisneyPlus,1
TV Show,Star Wars Resistance,"February 25, 2020",2018,TV-Y7,"Action-Adventure, Animation, Kids",DisneyPlus,2
TV Show,Lost Cities With Albert Lin,"February 21, 2020",2019,TV-PG,"Action-Adventure, Docuseries, Historical",DisneyPlus,1
TV Show,Star Wars: The Clone Wars,"February 21, 2020",2008,TV-PG,"Action-Adventure, Animation, Science Fiction",DisneyPlus,7
TV Show,Fairy Tale Weddings,"February 14, 2020",2017,TV-PG,"Docuseries, Family, Lifestyle",DisneyPlus,2
TV Show,That's So Raven,"February 8, 2020",2002,TV-G,"Comedy, Coming of Age, Fantasy",DisneyPlus,4
TV Show,Diary of a Future President,"January 17, 2020",2020,TV-PG,"Comedy, Coming of Age, Family",DisneyPlus,2
TV Show,High School Musical: The Musical: The Series: The Sing-Along,"January 17, 2020",2019,TV-PG,"Comedy, Coming of Age, Drama",DisneyPlus,1
TV Show,America's National Parks,"January 15, 2020",2015,TV-14,"Animals & Nature, Docuseries",DisneyPlus,1
TV Show,Continent 7: Antarctica,"January 15, 2020",2016,TV-PG,"Action-Adventure, Animals & Nature, Docuseries",DisneyPlus,1
TV Show,Disney Randy Cunningham: 9th Grade Ninja,"January 15, 2020",2011,TV-Y7,"Action-Adventure, Animation, Comedy",DisneyPlus,2
TV Show,Muppet Babies Show and Tell (Shorts),"January 15, 2020",2017,TV-Y7,"Animation, Kids",DisneyPlus,1
TV Show,The Lodge,"January 15, 2020",2016,TV-G,"Coming of Age, Drama, Musical",DisneyPlus,2
TV Show,Wild Russia,"January 15, 2020",2018,TV-PG,"Animals & Nature, Docuseries",DisneyPlus,1
TV Show,Marvel's Runaways,"January 10, 2020",2017,TV-14,"Coming of Age, Drama, Science Fiction",DisneyPlus,3
TV Show,Austin & Ally,"January 1, 2020",2011,TV-G,"Comedy, Coming of Age, Kids",DisneyPlus,4
TV Show,Billy Dilley's Super-Duper Subterranean Summer,"January 1, 2020",2016,TV-Y7,"Animation, Comedy, Fantasy",DisneyPlus,1
TV Show,First Class Chefs: Family Style,"January 1, 2020",2015,TV-Y7,"Family, Game Show / Competition",DisneyPlus,1
TV Show,One Strange Rock,"January 1, 2020",2017,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,Out There with Jack Randall,"January 1, 2020",2019,TV-14,"Action-Adventure, Animals & Nature, Docuseries",DisneyPlus,1
TV Show,The Proud Family,"January 1, 2020",2001,TV-G,"Animation, Comedy, Coming of Age",DisneyPlus,2
TV Show,The Super Hero Squad,"January 1, 2020",2009,TV-Y7,"Action-Adventure, Animation, Comedy",DisneyPlus,2
TV Show,Year Million,"January 1, 2020",2016,TV-PG,"Docuseries, Science Fiction",DisneyPlus,1
TV Show,Pick of the Litter,"December 20, 2019",2019,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,One Day at Disney (Shorts),"December 6, 2019",2019,TV-PG,"Anthology, Docuseries, Family",DisneyPlus,1
TV Show,Disney The Lion Guard,"December 3, 2019",2015,TV-Y,"Action-Adventure, Animation, Comedy",DisneyPlus,3
TV Show,Disney Star vs. the Forces of Evil,"December 1, 2019",2014,TV-Y7,"Action-Adventure, Animation, Comedy",DisneyPlus,4
TV Show,Henry Hugglemonster,"December 1, 2019",2012,TV-Y,"Animation, Fantasy, Kids",DisneyPlus,2
TV Show,Miles From Tomorrowland,"December 1, 2019",2014,TV-Y,"Action-Adventure, Animation, Kids",DisneyPlus,2
TV Show,Sheriff Callie's Wild West,"December 1, 2019",2011,TV-Y,"Animation, Kids, Western",DisneyPlus,2
TV Show,Supercar Megabuild,"December 1, 2019",2016,TV-PG,"Buddy, Docuseries, Lifestyle",DisneyPlus,2
TV Show,Mickey Mouse Roadster Racers,"November 20, 2019",2017,TV-Y,"Animation, Kids, Sports",DisneyPlus,2
TV Show,Andi Mack,"November 12, 2019",2016,TV-G,"Comedy, Coming of Age, Drama",DisneyPlus,3
TV Show,Best Friends Whenever,"November 12, 2019",2015,TV-G,"Buddy, Comedy, Coming of Age",DisneyPlus,2
TV Show,Big City Greens (Shorts),"November 12, 2019",2017,TV-Y7,"Action-Adventure, Animation, Comedy",DisneyPlus,1
TV Show,Big Hero 6 The Series (Shorts),"November 12, 2019",2017,TV-Y7,"Action-Adventure, Animation, Comedy",DisneyPlus,2
TV Show,Bonkers,"November 12, 2019",1993,TV-G,"Animation, Comedy, Kids",DisneyPlus,1
TV Show,Boy Meets World,"November 12, 2019",1993,TV-PG,"Comedy, Coming of Age, Family",DisneyPlus,7
TV Show,Bug Juice: My Adventures at Camp,"November 12, 2019",2017,TV-G,"Coming of Age, Docuseries, Family",DisneyPlus,1
TV Show,Chip 'n Dale's Rescue Rangers,"November 12, 2019",1989,TV-G,"Action-Adventure, Animation, Comedy",DisneyPlus,1
TV Show,Coop & Cami Ask The World (Shorts),"November 12, 2019",2018,TV-G,"Comedy, Family, Game Show / Competition",DisneyPlus,1
TV Show,Crash & Bernstein,"November 12, 2019",2012,TV-Y7,"Comedy, Fantasy, Kids",DisneyPlus,2
TV Show,Darkwing Duck,"November 12, 2019",1991,TV-Y7,"Action-Adventure, Animation, Kids",DisneyPlus,2
TV Show,Disney Bizaardvark,"November 12, 2019",2015,TV-PG,"Buddy, Comedy, Family",DisneyPlus,3
TV Show,Disney Descendants Wicked World (Shorts),"November 12, 2019",2015,TV-G,"Animation, Coming of Age, Fantasy",DisneyPlus,2
TV Show,Disney DuckTales (Shorts),"November 12, 2019",2016,TV-Y7,"Action-Adventure, Animation, Comedy",DisneyPlus,1
TV Show,Disney Evermoor,"November 12, 2019",2017,TV-PG,Series,DisneyPlus,1
TV Show,Disney Family Sundays,"November 12, 2019",2019,TV-G,"Anthology, Family, Lifestyle",DisneyPlus,1
TV Show,Disney Fast Layne,"November 12, 2019",2018,TV-G,"Action-Adventure, Animation, Comedy",DisneyPlus,1
TV Show,Disney Gravity Falls,"November 12, 2019",2011,TV-Y7,"Action-Adventure, Animation, Comedy",DisneyPlus,2
TV Show,Disney Gravity Falls (Shorts),"November 12, 2019",2012,TV-G,"Animation, Anthology, Comedy",DisneyPlus,1
TV Show,Disney Jake and the Never Land Pirates,"November 12, 2019",2010,TV-Y,"Action-Adventure, Animation, Fantasy",DisneyPlus,4
TV Show,Disney JONAS,"November 12, 2019",2008,TV-G,"Comedy, Family, Kids",DisneyPlus,2
TV Show,Disney Junior Music Nursery Rhymes,"November 12, 2019",2017,TV-Y,"Animation, Kids, Musical",DisneyPlus,2
TV Show,Disney K.C. Undercover,"November 12, 2019",2014,TV-Y7,"Action-Adventure, Comedy, Kids",DisneyPlus,3
TV Show,Disney Lab Rats: Elite Force,"November 12, 2019",2015,TV-Y7,"Action-Adventure, Comedy, Coming of Age",DisneyPlus,1
TV Show,Disney Legend of the Three Caballeros,"November 12, 2019",2017,TV-G,"Action-Adventure, Animation, Comedy",DisneyPlus,1
TV Show,Disney Mickey Mouse Clubhouse,"November 12, 2019",2005,TV-Y,"Animation, Kids",DisneyPlus,5
TV Show,Disney Milo Murphy's Law,"November 12, 2019",2016,TV-Y7,"Action-Adventure, Animation, Comedy",DisneyPlus,2
TV Show,Disney Minnie's Bow-Toons (Shorts),"November 12, 2019",2011,TV-Y,"Animation, Kids",DisneyPlus,3
TV Show,Disney Stuck In The Middle,"November 12, 2019",2015,TV-PG,"Comedy, Coming of Age, Family",DisneyPlus,3
TV Show,Disney Take Two With Phineas And Ferb (Shorts),"November 12, 2019",2010,TV-G,"Animation, Kids, Parody",DisneyPlus,1
TV Show,Disney Tangled: The Series - Short Cuts,"November 12, 2019",2016,TV-Y7,"Action-Adventure, Animation, Comedy",DisneyPlus,1
TV Show,Disney's Adventures Of The Gummi Bears,"November 12, 2019",1985,TV-Y7,"Action-Adventure, Animation, Fantasy",DisneyPlus,6
TV Show,Disney's Doug,"November 12, 2019",1996,TV-Y7,"Animation, Comedy, Coming of Age",DisneyPlus,3
TV Show,Disney's Hercules: The Animated Series,"November 12, 2019",1998,TV-Y7,"Action-Adventure, Animation, Comedy",DisneyPlus,1
TV Show,Disney's Kim Possible,"November 12, 2019",2001,TV-G,"Action-Adventure, Animation, Comedy",DisneyPlus,4
TV Show,Disney's Little Einsteins,"November 12, 2019",2005,TV-Y,"Action-Adventure, Animation, Kids",DisneyPlus,2
TV Show,Disney's Mighty Ducks,"November 12, 2019",1996,TV-Y7,"Action-Adventure, Animation, Comedy",DisneyPlus,1
TV Show,Disney's Recess,"November 12, 2019",1997,TV-Y7,"Animation, Comedy, Kids",DisneyPlus,3
TV Show,Disney's The Emperor's New School,"November 12, 2019",2005,TV-G,"Animation, Comedy, Coming of Age",DisneyPlus,2
TV Show,Disney's The Little Mermaid (Series),"November 12, 2019",1992,TV-Y7,"Action-Adventure, Animation, Fantasy",DisneyPlus,3
TV Show,Dog Whisperer with Cesar Millan,"November 12, 2019",2004,TV-G,"Animals & Nature, Docuseries, Family",DisneyPlus,6
TV Show,"Dr. T, Lone Star Vet","November 12, 2019",2019,TV-PG,"Docuseries, Family, Medical",DisneyPlus,1
TV Show,Elena of Avalor (Shorts),"November 12, 2019",2017,TV-Y,"Action-Adventure, Animation, Fantasy",DisneyPlus,2
TV Show,Encore!,"November 12, 2019",2019,TV-14,"Music, Reality",DisneyPlus,1
TV Show,Even Stevens,"November 12, 2019",2000,TV-PG,"Comedy, Coming of Age, Kids",DisneyPlus,3
TV Show,Fantastic Four (Series),"November 12, 2019",1994,TV-Y7,"Action-Adventure, Animation, Kids",DisneyPlus,1
TV Show,Fantastic Four: World's Greatest Heroes,"November 12, 2019",2007,TV-Y7,"Action-Adventure, Animation, Kids",DisneyPlus,1
TV Show,Gargoyles,"November 12, 2019",1994,TV-Y7,"Action-Adventure, Animation, Fantasy",DisneyPlus,3
TV Show,Girl Meets World,"November 12, 2019",2013,TV-G,"Comedy, Coming of Age, Family",DisneyPlus,3
TV Show,Good Luck Charlie,"November 12, 2019",2009,TV-G,"Comedy, Coming of Age, Family",DisneyPlus,4
TV Show,Goof Troop,"November 12, 2019",1992,TV-Y7,"Animation, Comedy, Kids",DisneyPlus,1
TV Show,Great Migrations,"November 12, 2019",2010,TV-PG,"Animals & Nature, Docuseries, Survival",DisneyPlus,1
TV Show,Handy Manny,"November 12, 2019",2006,TV-Y,"Animation, Kids",DisneyPlus,3
TV Show,Hannah Montana,"November 12, 2019",2005,TV-G,"Comedy, Coming of Age, Kids",DisneyPlus,4
TV Show,High School Musical: The Musical: The Series,"November 12, 2019",2019,TV-PG,"Comedy, Coming of Age, Drama",DisneyPlus,2
TV Show,Hostile Planet,"November 12, 2019",2019,TV-PG,"Animals & Nature, Docuseries, Survival",DisneyPlus,1
TV Show,Hulk and the Agents of S.M.A.S.H.,"November 12, 2019",2012,TV-Y7,"Action-Adventure, Animation, Comedy",DisneyPlus,2
TV Show,Iron Man (Series),"November 12, 2019",1994,TV-Y7,"Action-Adventure, Animation, Kids",DisneyPlus,1
TV Show,Iron Man Armored Adventures,"November 12, 2019",2008,TV-G,"Action-Adventure, Animation, Coming of Age",DisneyPlus,2
TV Show,Jessie,"November 12, 2019",2011,TV-PG,"Comedy, Coming of Age, Family",DisneyPlus,4
TV Show,Kickin' It,"November 12, 2019",2010,TV-PG,"Action-Adventure, Comedy, Coming of Age",DisneyPlus,4
TV Show,Kingdom of the White Wolf,"November 12, 2019",2019,TV-PG,"Action-Adventure, Animals & Nature, Docuseries",DisneyPlus,1
TV Show,Lab Rats,"November 12, 2019",2011,TV-Y7,"Action-Adventure, Comedy, Coming of Age",DisneyPlus,4
TV Show,LEGO Disney Frozen: Northern Lights (Shorts),"November 12, 2019",2016,TV-Y7,"Action-Adventure, Animation, Comedy",DisneyPlus,1
TV Show,LEGO Star Wars: All Stars,"November 12, 2019",2018,TV-Y7,"Action-Adventure, Animation, Comedy",DisneyPlus,1
TV Show,LEGO Star Wars: All Stars (Shorts),"November 12, 2019",2018,TV-Y7,"Action-Adventure, Animation, Comedy",DisneyPlus,1
TV Show,LEGO Star Wars: Droid Tales,"November 12, 2019",2014,TV-Y7,"Action-Adventure, Animation, Comedy",DisneyPlus,1
TV Show,LEGO Star Wars: Resistance Rises (Shorts),"November 12, 2019",2015,TV-Y7-FV,"Action-Adventure, Animation, Comedy",DisneyPlus,1
TV Show,LEGO Star Wars: The Freemaker Adventures,"November 12, 2019",2015,TV-Y7,"Action-Adventure, Animation, Comedy",DisneyPlus,2
TV Show,LEGO Star Wars: The Freemaker Adventures (Shorts),"November 12, 2019",2016,TV-Y7,"Action-Adventure, Animation, Comedy",DisneyPlus,1
TV Show,Lizzie McGuire,"November 12, 2019",2000,TV-G,"Comedy, Coming of Age, Kids",DisneyPlus,2
TV Show,Lost Treasures of the Maya,"November 12, 2019",2018,TV-PG,"Docuseries, Historical",DisneyPlus,1
TV Show,Marvel Comics X-Men,"November 12, 2019",1992,TV-Y7,"Action-Adventure, Animation, Fantasy",DisneyPlus,5
TV Show,Marvel Rising: Initiation (Shorts),"November 12, 2019",2017,TV-Y7,"Action-Adventure, Animation, Kids",DisneyPlus,1
TV Show,Marvel Ultimate Spider-Man,"November 12, 2019",2011,TV-Y7,"Action-Adventure, Animation, Fantasy",DisneyPlus,4
TV Show,Marvel's Agent Carter,"November 12, 2019",2014,TV-14,"Action-Adventure, Science Fiction, Spy/Espionage",DisneyPlus,2
TV Show,Marvel's Ant-Man (Shorts),"November 12, 2019",2016,TV-Y7,"Action-Adventure, Animation, Comedy",DisneyPlus,1
TV Show,Marvel's Avengers Assemble,"November 12, 2019",2012,TV-Y7,"Action-Adventure, Animation, Kids",DisneyPlus,5
TV Show,Marvel's Avengers: Secret Wars (Shorts),"November 12, 2019",2016,TV-Y7,"Action-Adventure, Animation, Kids",DisneyPlus,1
TV Show,Marvel's Guardians of the Galaxy (Series),"November 12, 2019",2015,TV-Y7,"Action-Adventure, Animation, Kids",DisneyPlus,3
TV Show,Marvel's Guardians of the Galaxy (Shorts),"November 12, 2019",2014,TV-Y7,"Action-Adventure, Animation, Kids",DisneyPlus,2
TV Show,Marvel's Hero Project,"November 12, 2019",2019,TV-PG,"Docuseries, Family",DisneyPlus,1
TV Show,Marvel's Inhumans,"November 12, 2019",2017,TV-14,"Action-Adventure, Science Fiction, Superhero",DisneyPlus,1
TV Show,Marvel's Rocket & Groot (Shorts),"November 12, 2019",2016,TV-Y7,"Action-Adventure, Animation, Buddy",DisneyPlus,1
TV Show,Marvel's Ultimate Comics,"November 12, 2019",2016,TV-Y7,"Action-Adventure, Animation, Comedy",DisneyPlus,1
TV Show,Mickey Mouse (Shorts),"November 12, 2019",2012,TV-G,"Animation, Kids",DisneyPlus,5
TV Show,Mickey Mouse Club (1955-59),"November 12, 2019",1955,TV-PG,"Family, Variety",DisneyPlus,1
TV Show,Muppet Moments (Shorts),"November 12, 2019",2014,TV-Y7,"Anthology, Comedy, Kids",DisneyPlus,1
TV Show,My Friends Tigger & Pooh,"November 12, 2019",2006,TV-Y,"Animation, Kids",DisneyPlus,2
TV Show,Origins: The Journey of Humankind,"November 12, 2019",2016,TV-14,"Docuseries, Historical",DisneyPlus,1
TV Show,Out of the Box,"November 12, 2019",1998,TV-G,Kids,DisneyPlus,3
TV Show,Phil of the Future,"November 12, 2019",2003,TV-G,"Comedy, Coming of Age, Kids",DisneyPlus,2
TV Show,Phineas and Ferb,"November 12, 2019",2007,TV-G,"Action-Adventure, Animation, Comedy",DisneyPlus,4
TV Show,Pixar In Real Life,"November 12, 2019",2019,TV-G,"Anthology, Comedy, Family",DisneyPlus,1
TV Show,Quack Pack,"November 12, 2019",1996,TV-Y,"Action-Adventure, Animation, Comedy",DisneyPlus,1
TV Show,Rocky Mountain Animal Rescue,"November 12, 2019",2018,TV-PG,"Animals & Nature, Docuseries, Family",DisneyPlus,1
TV Show,Shake It Up,"November 12, 2019",2010,TV-G,"Buddy, Comedy, Coming of Age",DisneyPlus,3
TV Show,Silver Surfer,"November 12, 2019",1997,TV-Y7,"Action-Adventure, Animation, Kids",DisneyPlus,1
TV Show,So Weird,"November 12, 2019",1999,TV-Y7,"Fantasy, Kids, Mystery",DisneyPlus,3
TV Show,Spider-Man (Shorts),"November 12, 2019",2016,TV-Y7,"Action-Adventure, Animation, Kids",DisneyPlus,1
TV Show,Spider-Man and His Amazing Friends,"November 12, 2019",1982,TV-Y7,"Action-Adventure, Animation, Kids",DisneyPlus,1
TV Show,Spider-Man Unlimited,"November 12, 2019",1999,TV-Y7,"Action-Adventure, Animation, Kids",DisneyPlus,1
TV Show,Spider-Woman,"November 12, 2019",1979,TV-Y7,"Action-Adventure, Animation, Kids",DisneyPlus,1
TV Show,Star Wars Forces of Destiny (Shorts),"November 12, 2019",2016,TV-Y7,"Action-Adventure, Animation, Anthology",DisneyPlus,2
TV Show,Star Wars Rebels,"November 12, 2019",2014,TV-Y7,"Action-Adventure, Animation, Kids",DisneyPlus,4
TV Show,Star Wars Rebels (Shorts),"November 12, 2019",2014,TV-Y7,"Action-Adventure, Animation, Kids",DisneyPlus,1
TV Show,Star Wars: Blips,"November 12, 2019",2019,TV-Y7-FV,Series,DisneyPlus,1
TV Show,TaleSpin,"November 12, 2019",1990,TV-G,"Action-Adventure, Animation, Kids",DisneyPlus,1
TV Show,The Adventures of Spin and Marty,"November 12, 2019",1955,TV-G,"Buddy, Coming of Age, Family",DisneyPlus,1
TV Show,The Avengers: Earth's Mightiest Heroes,"November 12, 2019",2010,TV-Y7,"Action-Adventure, Animation, Kids",DisneyPlus,2
TV Show,The Avengers: United They Stand,"November 12, 2019",1999,TV-Y7,"Action-Adventure, Animation, Kids",DisneyPlus,1
TV Show,The Book of Once Upon a Time,"November 12, 2019",2014,TV-Y,"Animation, Anthology, Kids",DisneyPlus,4
TV Show,The Book of Pooh,"November 12, 2019",2000,TV-Y,"Comedy, Kids",DisneyPlus,2
TV Show,The Imagineering Story,"November 12, 2019",2019,TV-PG,"Docuseries, Historical",DisneyPlus,1
TV Show,The Muppets (Series),"November 12, 2019",2015,TV-PG,Comedy,DisneyPlus,1
TV Show,The New Adventures of Winnie the Pooh,"November 12, 2019",1988,TV-Y,"Animation, Kids",DisneyPlus,4
TV Show,The Replacements,"November 12, 2019",2006,TV-G,"Animation, Comedy, Family",DisneyPlus,1
TV Show,The Suite Life of Zack & Cody,"November 12, 2019",2004,TV-G,"Action-Adventure, Comedy, Coming of Age",DisneyPlus,3
TV Show,The Suite Life On Deck,"November 12, 2019",2008,TV-G,"Action-Adventure, Comedy, Coming of Age",DisneyPlus,3
TV Show,The World According to Jeff Goldblum,"November 12, 2019",2019,TV-PG,Docuseries,DisneyPlus,2
TV Show,Timon & Pumbaa,"November 12, 2019",1995,TV-Y,"Animation, Buddy, Comedy",DisneyPlus,3
TV Show,Wild Yellowstone,"November 12, 2019",2015,TV-PG,"Animals & Nature, Docuseries, Travel",DisneyPlus,1
TV Show,Wizards of Waverly Place,"November 12, 2019",2007,TV-G,"Comedy, Coming of Age, Fantasy",DisneyPlus,4
TV Show,Wolverine and The X-Men,"November 12, 2019",2008,TV-Y7,"Action-Adventure, Animation, Kids",DisneyPlus,1
TV Show,X-Men: Evolution,"November 12, 2019",2000,TV-Y7,"Action-Adventure, Animation, Kids",DisneyPlus,4
TV Show,Smart Guy,"October 1, 2019",1996,TV-G,"Comedy, Coming of Age, Kids",DisneyPlus,3
TV Show,Disney Kirby Buckets,"November 12, 2019",2014,TV-Y7,"Action-Adventure, Comedy, Coming of Age",DisneyPlus,3
TV Show,Disney Mech-X4,"November 12, 2019",2016,TV-Y7,"Action-Adventure, Comedy, Science Fiction",DisneyPlus,2
TV Show,Imagination Movers,"November 12, 2019",2008,TV-Y,"Kids, Music",DisneyPlus,3
